bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
10.0,0.16,Social,6.0,876.14,147.0247021092137,904.9563123244783,847.3236876755217,0.65012637,0.15545636063640578,0.6805952570418372,0.6196574829581627,0.06852553900000001,0.013943995576539915,0.07125851193461774,0.06579256606538225,9.0,6.282189165642314e-14,429.73,26.969929551261345,435.01600910030083,424.44399089969914
10.0,0.16,Social,8.0,900.66,202.0538592064057,940.2618290105625,861.0581709894376,0.58937291,0.13246549690719694,0.6153356705180217,0.5634101494819783,0.06187811400000001,0.012685590499787031,0.06436444406983248,0.05939178393016755,9.0,6.825484305797872e-14,429.58,39.04770927980282,437.23321044708786,421.92678955291206
10.0,0.16,Social,10.0,888.41,221.10179085478242,931.7451550410902,845.0748449589098,0.5424123580000001,0.17550383908507594,0.5768104786468543,0.5080142373531459,0.057864467,0.0160611881243345,0.061012402052092324,0.05471653194790769,9.0,6.784654555417037e-14,422.81,44.57615842577733,431.546766577282,414.073233422718
10.0,0.16,Social,12.0,831.17,273.8882782995632,884.8511165489125,777.4888834510873,0.42134588199999984,0.1890027464299108,0.4583897398903752,0.3843020241096245,0.04643884039999998,0.01749776532821482,0.0498683394123749,0.043009341387625064,9.0,6.470668278936532e-14,406.06,58.22075574913126,417.47105853210905,394.64894146789095
10.0,0.16,Social,14.0,850.05,377.8003153556496,924.097501728572,776.0024982714281,0.24062490289999994,0.19257026779132785,0.27836798213413616,0.2028818236658637,0.0306746446,0.0182163848325498,0.034244990448194366,0.02710429875180564,9.0,7.1135723098198e-14,392.84,88.63799636724647,410.2127281911934,375.46727180880663
10.0,0.16,Social,16.0,853.08,482.66492298362425,947.6805873110677,758.4794126889324,0.06940434708080809,0.09300580356976712,0.0876331497595896,0.05117554440202658,0.012909387182828282,0.010950884614761043,0.015055721144136832,0.010763053221519731,9.0,7.156989238411966e-14,375.5,112.99809732911434,397.64722028335603,353.35277971664397
10.0,0.16,Social,18.0,335.86,531.2997217611107,439.99283278617935,231.72716721382062,0.03230304214285714,0.04460260069859382,0.04104499131041901,0.02356109297529527,0.007414426809523808,0.007932315894988511,0.008969132168604335,0.005859721450443282,9.0,5.1240371895982013e-14,146.86,191.42168215748185,184.37796058481067,109.3420394151893
10.0,0.16,Social,0.0,985.62,45.48365895927054,994.5346334148448,976.7053665851552,0.72029093,0.11040979036960308,0.7419308514371968,0.6986510085628032,0.074959927,0.011355083321631012,0.07718548245273972,0.07273437154726027,10.0,0.0,453.28,9.087441884270842,455.0611058945263,451.4988941054737
10.0,0.16,Social,2.0,978.46,60.63109513252829,990.3434763740332,966.576523625967,0.72291679,0.12220267217178665,0.7468680738160504,0.6989655061839496,0.07515059800000001,0.011878322736732479,0.07747870649443772,0.0728224895055623,10.0,6.941480260384227e-14,452.43,10.352057766453973,454.458966054817,450.40103394518303
10.0,0.16,Social,4.0,971.37,102.05916832104715,991.3732295779193,951.3667704220807,0.70168134,0.12278197011334173,0.7257461641271226,0.6776165158728775,0.072877699,0.012273513340658912,0.07528326343012112,0.07047213456987889,10.0,6.884728302631113e-14,450.09,15.153940081708123,453.0601177018305,447.1198822981695
10.0,0.16,Social,6.0,1011.15,144.59224276103703,1039.4895590490894,982.8104409509108,0.6707856699999999,0.14049052059750752,0.6983213062712372,0.6432500337287625,0.06964717799999999,0.013271865402958943,0.0722484158402645,0.06704594015973549,10.0,7.752424964501075e-14,453.69,21.27284419159789,457.85940087931414,449.52059912068586
10.0,0.16,Social,8.0,961.6,195.18796949182965,999.8561393437084,923.3438606562917,0.6702986200000002,0.15295124304320054,0.7002765130119926,0.6403207269880078,0.06983744999999998,0.013903124794651618,0.07256241240850242,0.06711248759149753,10.0,7.745417875022638e-14,443.58,32.233268528028624,449.89760459172686,437.2623954082731
