coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
2.5,0.7,Social,11,4,8.18E-14,1582.21,148.2987222,1611.276016,1553.143984,0.009777333,0.009382697,0.011616308,0.007938358,0.002679606,0.001424224,0.002958749,0.002400463,500.6,9.349866309,502.4325401,498.7674599
2.5,0.7,Social,11,6,8.38E-14,1503.01,190.1146116,1540.271779,1465.748221,0.011774478,0.009050218,0.013548288,0.010000667,0.003065209,0.00167654,0.003393804,0.002736613,495.4,12.2294726,497.7969326,493.0030674
2.5,0.7,Social,11,8,7.23E-14,1514.04,249.3629832,1562.914247,1465.165753,0.011494114,0.010219088,0.013497019,0.00949121,0.00300635,0.001901678,0.003379072,0.002633628,495.74,15.52908239,498.7836442,492.6963558
2.5,0.7,Social,11,10,7.88E-14,1498.53,320.4769947,1561.342337,1435.717663,0.015114572,0.018931454,0.018825069,0.011404075,0.003265726,0.002518149,0.003759274,0.002772177,492.09,22.57436378,496.514494,487.665506
2.5,0.7,Social,11,12,8.76E-14,1454.05,373.2383368,1527.20337,1380.89663,0.017131299,0.017888696,0.020637419,0.013625179,0.00386587,0.002540272,0.004363754,0.003367986,486.1,27.23949339,491.4388426,480.7611574
2.5,0.7,Social,11,14,8.83E-14,1472.87,457.6356156,1562.564933,1383.175067,0.018227728,0.019791162,0.022106725,0.014348732,0.004092625,0.002992363,0.004679118,0.003506133,479.92,46.18477671,488.97205,470.86795
2.5,0.7,Social,11,16,7.95E-14,1414.17,580.0352663,1527.854824,1300.485176,0.023545194,0.031135556,0.029647651,0.017442737,0.004733004,0.003955439,0.005508255,0.003957752,467.28,54.87478109,478.0352595,456.5247405
2.5,0.7,Social,11,18,8.25E-14,1314.47,559.2400951,1424.079045,1204.860955,0.026724056,0.035735811,0.033728146,0.019719965,0.005178168,0.005579639,0.006271757,0.004084579,456.53,60.9912215,468.4840598,444.5759402
2.5,0.7,Social,11,20,7.94E-14,1073.48,630.8379785,1197.121973,949.8380272,0.058154531,0.106688236,0.079065041,0.037244021,0.009576417,0.012095133,0.011947019,0.007205814,405.72,113.8554417,428.0352567,383.4047433
2.5,0.7,Social,11,22,9.09E-14,1139.06,699.9047095,1276.238803,1001.881197,0.078987089,0.143192599,0.107052323,0.050921855,0.01139924,0.015462388,0.014429812,0.008368667,397.66,151.0610618,427.2674243,368.0525757
2.5,0.7,Social,12,0,0,1743.87,32.64707359,1750.268709,1737.471291,0.009177183,0.006601585,0.01047107,0.007883296,0.002578783,0.001381484,0.002849549,0.002308017,509.81,4.642617796,510.7199364,508.9000636
2.5,0.7,Social,12,2,9.53E-14,1747.64,73.90008543,1762.124151,1733.155849,0.008961897,0.007811392,0.010492902,0.007430893,0.002590431,0.001715224,0.002926609,0.002254253,509.38,4.955360734,510.3512329,508.4087671
2.5,0.7,Social,12,4,8.65E-14,1723.82,143.0083264,1751.849117,1695.790883,0.010139871,0.007567061,0.011622988,0.008656754,0.002734647,0.001491424,0.003026961,0.002442333,507.9,6.307931515,509.1363319,506.6636681
2.5,0.7,Social,12,6,8.88E-14,1724.79,216.966054,1767.314566,1682.265434,0.009015819,0.008213082,0.010625553,0.007406084,0.002536391,0.001600982,0.002850178,0.002222605,506.97,9.586923386,508.8490025,505.0909975
2.5,0.7,Social,12,8,9.22E-14,1678.61,262.6133962,1730.08128,1627.13872,0.012103852,0.013437001,0.014737456,0.009470249,0.002929215,0.002011168,0.003323397,0.002535033,504.5,11.6691902,506.7871193,502.2128807
2.5,0.7,Social,12,10,7.93E-14,1644.06,321.2877442,1707.031241,1581.088759,0.010799258,0.009258193,0.012613831,0.008984686,0.002787934,0.001728613,0.003126736,0.002449132,501.19,16.00418383,504.3267624,498.0532376
2.5,0.7,Social,12,12,9.63E-14,1678.82,365.8949836,1750.5341,1607.1059,0.010210367,0.009037391,0.011981663,0.008439071,0.00262134,0.001467736,0.002909011,0.002333669,501.01,19.19973698,504.7730793,497.2469207
2.5,0.7,Social,12,14,8.21E-14,1513.92,448.0132502,1601.728984,1426.111016,0.012169897,0.013336453,0.014783794,0.009556,0.003068134,0.002010205,0.003462127,0.002674141,486.72,33.23825507,493.2345783,480.2054217
2.5,0.7,Social,12,16,8.96E-14,1559.62,531.558273,1663.803508,1455.436492,0.017231341,0.025470439,0.022223455,0.012239227,0.00357433,0.003118095,0.004185465,0.002963195,486.17,34.94769091,493.0196216,479.3203784
2.5,0.7,Social,12,18,9.06E-14,1512.18,651.4834413,1639.868409,1384.491591,0.014924746,0.016682377,0.018194431,0.01165506,0.003808501,0.003066714,0.004409566,0.003207436,472.2,54.59578738,482.9005778,461.4994222
2.5,0.7,Social,12,20,9.28E-14,1561.18,751.8364638,1708.53724,1413.82276,0.018351026,0.024427859,0.023138798,0.013563253,0.00401662,0.003124205,0.004628953,0.003404287,464.97,75.30092363,479.7287099,450.2112901
2.5,0.7,Social,12,22,8.67E-14,1376.14,636.348104,1500.861938,1251.418062,0.025220488,0.028360196,0.030778984,0.019661992,0.005041765,0.003994051,0.005824584,0.004258945,453.84,81.93298725,469.8985705,437.7814295
2.5,0.7,Social,12,24,8.56E-14,1198.58,805.3611672,1356.427889,1040.732111,0.027492558,0.039561769,0.035246522,0.019738593,0.005299742,0.005467484,0.00637135,0.004228135,398.24,157.2847812,429.0672509,367.4127491
2.5,0.7,Social,13,0,0,1913.81,35.38809222,1920.745939,1906.874061,0.009364152,0.007162967,0.010768068,0.007960236,0.00258804,0.001362998,0.002855183,0.002320897,515.63,3.10049996,516.2376868,515.0223132
2.5,0.7,Social,13,2,1.03E-13,1924.64,68.99634304,1938.163035,1911.116965,0.00921499,0.005567281,0.010306157,0.008123823,0.002459783,0.001190367,0.00269309,0.002226475,515.65,4.087480887,516.4511315,514.8488685
2.5,0.7,Social,13,4,1.03E-13,1910.59,127.5753764,1935.594315,1885.585685,0.008541119,0.007452836,0.010001848,0.00708039,0.002468314,0.001395215,0.002741771,0.002194857,514.8,4.857983121,515.7521472,513.8478528
2.5,0.7,Social,13,6,9.24E-14,1847.41,205.9844112,1887.782203,1807.037797,0.008225591,0.006830278,0.009564301,0.006886881,0.002499266,0.001300083,0.002754078,0.002244455,512.01,6.882579458,513.3589608,510.6610392
2.5,0.7,Social,13,8,1.05E-13,1884.05,260.9159614,1935.188589,1832.911411,0.009312938,0.008251149,0.010930134,0.007695743,0.002643012,0.001724654,0.002981038,0.002304986,512.79,9.099774722,514.5735231,511.0064769
2.5,0.7,Social,13,10,1.01E-13,1883.72,338.7574467,1950.11524,1817.32476,0.007990964,0.005614493,0.009091384,0.006890544,0.002405963,0.001204398,0.002642021,0.002169905,510.88,10.93094689,513.0224262,508.7375738
2.5,0.7,Social,13,12,9.46E-14,1784.62,404.7197754,1863.943619,1705.296381,0.009049232,0.007468628,0.010513056,0.007585408,0.00254694,0.001480109,0.002837036,0.002256844,505.41,17.19889241,508.780921,502.039079
2.5,0.7,Social,13,14,9.98E-14,1802.03,465.306925,1893.228482,1710.831518,0.010957385,0.010154043,0.012947541,0.008967229,0.002826656,0.001651977,0.003150437,0.002502874,503.62,20.55080534,507.6478839,499.5921161
2.5,0.7,Social,13,16,1.07E-13,1760.28,553.5235175,1868.768617,1651.791383,0.012179237,0.009240544,0.01399035,0.010368123,0.003099467,0.001757405,0.003443912,0.002755022,498.08,30.53479327,504.0647096,492.0952904
2.5,0.7,Social,13,18,1.04E-13,1734.95,626.62141,1857.765541,1612.134459,0.013185942,0.013230624,0.015779097,0.010592787,0.002991559,0.002131692,0.003409363,0.002573755,493.34,35.53821042,500.3053613,486.3746387
2.5,0.7,Social,13,20,9.94E-14,1657.2,696.4147,1793.694774,1520.705226,0.013898255,0.013999484,0.016642104,0.011154407,0.003420904,0.002621725,0.003934752,0.002907055,482.24,48.5777974,491.7610734,472.7189266
2.5,0.7,Social,13,22,1.16E-13,1742.44,739.5915105,1887.397274,1597.482726,0.014237755,0.020380118,0.018232185,0.010243325,0.00309959,0.002546824,0.003598758,0.002600421,484.64,56.05506578,495.6265911,473.6534089
2.5,0.7,Social,13,24,1.04E-13,1556.13,747.7532361,1702.686942,1409.573058,0.014707513,0.015864805,0.017816958,0.011598069,0.00347755,0.002409567,0.003949816,0.003005283,467.11,65.62497924,479.9722597,454.2477403
2.5,0.7,Social,13,26,1.16E-13,1450.67,824.706952,1612.309594,1289.030406,0.016222399,0.027565221,0.021625084,0.010819715,0.003762316,0.004776367,0.004698467,0.002826166,438.1,120.3112214,461.6805663,414.5194337
2.5,0.7,Social,14,0,0,2085.01,39.71883379,2092.794748,2077.225252,0.00791223,0.005588761,0.009007607,0.006816853,0.002247,0.001043783,0.002451577,0.002042422,519.16,2.816806703,519.712084,518.607916
2.5,0.7,Social,14,2,1.13E-13,2080.67,81.15169173,2096.575439,2064.764561,0.007374309,0.005455262,0.00844352,0.006305097,0.002202779,0.001180212,0.002434096,0.001971461,519.01,3.721545378,519.7394095,518.2805905
2.5,0.7,Social,14,4,1.01E-13,2094.75,151.2563798,2124.395706,2065.104294,0.008288621,0.006537693,0.009569985,0.007007256,0.002348338,0.001252846,0.002593892,0.002102785,518.89,4.268243198,519.7265603,518.0534397
2.5,0.7,Social,14,6,1.06E-13,2090.87,216.0354748,2133.212175,2048.527825,0.008360237,0.005939521,0.009524362,0.007196112,0.002407221,0.001239815,0.00265022,0.002164222,518.96,5.209452946,519.981034,517.938966
2.5,0.7,Social,14,8,9.90E-14,2046.88,282.1826287,2102.186779,1991.573221,0.007380166,0.005262989,0.008411693,0.006348639,0.002301555,0.001313859,0.002559066,0.002044043,515.84,8.299060188,517.4665859,514.2134141
2.5,0.7,Social,14,10,9.84E-14,1981.33,318.2621705,2043.70824,1918.95176,0.009215315,0.008307972,0.010843648,0.007586982,0.002554757,0.001553208,0.00285918,0.002250334,514.87,8.782545189,516.5913472,513.1486528
2.5,0.7,Social,14,12,1.06E-13,1953.65,374.2485366,2027.001366,1880.298634,0.008873655,0.006332379,0.010114778,0.007632531,0.002413781,0.001336852,0.002675799,0.002151763,512.46,12.17326579,514.8459163,510.0740837
2.5,0.7,Social,14,14,1.14E-13,2100.1,498.0752752,2197.720961,2002.479039,0.00825492,0.007241972,0.009674321,0.00683552,0.002396721,0.001562662,0.002702998,0.002090445,513.69,15.18400145,516.6660096,510.7139904
2.5,0.7,Social,14,16,9.14E-14,1860.87,556.5836021,1969.958382,1751.781618,0.008922675,0.00759939,0.010412128,0.007433222,0.002614168,0.001616639,0.002931023,0.002297312,504.14,22.9913114,508.6462143,499.6337857
2.5,0.7,Social,14,18,1.05E-13,1896.6,640.6919397,2022.173314,1771.026686,0.011046738,0.009922838,0.012991578,0.009101897,0.002713659,0.001596758,0.003026618,0.0024007,502.66,27.08254789,507.9680819,497.3519181
2.5,0.7,Social,14,20,1.05E-13,1891.13,679.2939837,2024.269175,1757.990825,0.010454948,0.009112965,0.012241057,0.00866884,0.002754933,0.001549285,0.003058587,0.002451278,500.24,31.21990391,506.3589888,494.1210112
2.5,0.7,Social,14,22,1.11E-13,1830.77,712.8260424,1970.481338,1691.058662,0.010037802,0.00894536,0.011791061,0.008284544,0.002568313,0.001504847,0.002863258,0.002273368,493.2,40.31228101,501.101062,485.298938
2.5,0.7,Social,14,24,1.14E-13,1840.54,836.1819968,2004.428661,1676.651339,0.011891202,0.01396871,0.014629019,0.009153385,0.003161176,0.002350806,0.003621926,0.002700427,486.03,56.30549796,497.0656749,474.9943251
2.5,0.7,Social,14,26,1.17E-13,1801.69,900.0851665,1978.103452,1625.276548,0.010799702,0.013278085,0.013402158,0.008197245,0.002875629,0.002401251,0.003346266,0.002404993,472.42,83.75120059,488.8349338,456.0050662
2.5,0.7,Social,14,28,1.19E-13,1552.96,802.3884663,1710.225251,1395.694749,0.015532854,0.025763388,0.020582385,0.010483322,0.003923044,0.004125177,0.004731564,0.003114524,458.83,89.85555687,476.4413657,441.2186343
2.5,0.7,Social,15,0,0,2258.47,41.74512734,2266.651895,2250.288105,0.006978606,0.00452465,0.007865421,0.006091791,0.002187205,0.001096516,0.002402118,0.001972292,521.95,2.896118092,522.5176287,521.3823713
2.5,0.7,Social,15,2,1.19E-13,2269.66,83.8735484,2286.098914,2253.221086,0.007309203,0.004398705,0.008171333,0.006447073,0.002402413,0.001161878,0.002630137,0.002174689,521.53,2.844134315,522.0874401,520.9725599
2.5,0.7,Social,15,4,1.16E-13,2271.26,148.9865169,2300.460821,2242.059179,0.008358708,0.006899285,0.009710943,0.007006473,0.00234711,0.001339384,0.002609625,0.002084596,521.9,3.360059523,522.5585596,521.2414404
