Species,Clade,social_system,range_size,pre_var_among,pre_var_within,tmp,dtr,str,pre,body_mass,abundance,X95..Lower.CI,X95..Upper.CI
Anthreptes_fraseri,P2,0,1859228.624,2.326657153,2.917266902,25.30527164,9.498484884,3.262161162,144.5819152,11.31,724438,8330,69508037
Anthreptes_reichenowi,P2,0,438283.1202,2.318123532,2.753886464,23.71283263,11.18457174,7.844869294,77.32977452,7.32,186825,2102,16529980
Anthreptes_anchietae,P2,0,465325.0674,1.90208988,2.950428999,21.0866011,13.09296479,6.069820708,92.30007389,8,48871,504,4272776
Anthreptes_simplex,P2,0,1062052.924,2.61256357,2.848007581,26.16526676,8.880309012,1.414031899,241.1062031,8.93,898604,9927,82568563
Anthreptes_malacensis,P2,0,2166604.348,2.504240825,2.921700389,26.1058398,9.111269214,2.469954743,211.1406724,11.33,4582579,47554,397884865
Anthreptes_rhodolaemus,P2,0,442077.7639,2.61765808,2.859491413,25.75837604,9.226620857,1.629486773,237.0517319,13.1,259726,3111,23320219
Anthreptes_singalensis,P2,0,2829894.282,2.446198744,3.021693353,25.17633061,9.389843774,5.381864398,195.3799377,8.2,1245575,12722,112435582
Anthreptes_gabonicus,P2,0,1338851.117,2.320114282,2.958401322,26.16777821,9.595095043,3.844100687,143.7503134,9.57,441895,5092,43004257
Anthreptes_longuemarei,P2,0,5262392.931,2.044638982,2.919431557,23.94987276,12.58061378,5.082682435,104.1564856,11.44,820866,9472,72918023
Anthreptes_orientalis,P2,0,1935952.464,2.056032645,2.550602619,24.94046767,12.32829381,4.020249605,51.47313525,10.3,815666,9239,76545971
Anthreptes_neglectus,P2,0,250651.5472,2.369196653,2.892406135,24.38629078,10.14634863,4.595506321,98.00805287,11.83,121920,1341,10686409
Anthreptes_aurantium,P2,0,1740388.212,2.267855218,2.819734818,24.73780874,9.928087015,2.444696306,140.8149091,9.57,NA,NA,NA
Anthreptes_pallidigaster,P2,0,864.2143959,2.390558302,2.762402534,24.21701431,9.597239971,4.419583201,85.38605881,6.8,140,2,12266
Anthreptes_rectirostris,P2,1,448143.8918,2.418168334,2.932223463,26.02935434,10.1556974,3.367865996,155.0767095,10.57,351451,3749,36039721
Anthreptes_rubritorques,P2,0,6703.521474,2.386228025,2.927904665,21.49527788,11.01467037,4.774791598,102.493021,10.7,1072,13,104548
Anthreptes_collaris,P2,0,9197435.7,2.155588769,2.82984665,23.4196076,11.56262753,4.415654424,107.0127464,6.98,6081406,67915,525091120
Anthreptes_platurus,P2,0,4074390.338,1.701717138,2.780840582,27.60438638,14.27776951,8.576467252,60.45691912,6.7,4200972,50078,370066525
Anthreptes_metallicus,P2,0,1209467.953,1.399843824,2.086384753,26.12676027,13.41044004,10.68446015,20.04397214,7.2,2855266,32531,270633861
Hypogramma_hypogrammicum,P2,0,2037212.163,2.460684328,2.926660021,25.33277924,9.227266688,3.880599773,206.0658124,11.42,394674,3809,34930426
Nectarinia_seimundi,P2,0,2080789.129,2.306484277,2.825487065,24.73382455,10.08250813,2.523268288,144.4587865,6.58,308300,3382,28944968
Nectarinia_batesi,P2,0,854825.1307,2.326651923,2.908714027,24.84131982,9.258619035,2.745863429,153.425781,6.3,78256,767,7732615
Nectarinia_olivacea,P2,0,5391807.221,2.232456703,2.85184136,23.8599423,10.78715914,3.638439017,123.3712022,9.65,6182393,68409,538326668
Nectarinia_violacea,P2,0,91921.14008,2.122075842,2.229546908,16.50417297,12.380615,10.8589463,40.60947999,9.38,657701,7913,53812241
Nectarinia_veroxii,P2,0,155165.6351,2.390558616,2.68090079,22.86276158,9.9215999,6.839530368,79.52024779,11.5,310321,3763,30685529
Nectarinia_reichenbachii,P2,0,2222320.407,2.264961762,2.794573962,24.70455432,9.894952803,2.230530095,142.1070972,11.4,638637,7868,56632887
Nectarinia_newtonii,P2,1,858.513774,2.531815052,2.926045895,22.96333313,6.310763836,3.306666851,180.3445892,6.5,215439,2200,19895215
Nectarinia_oritis,P2,0,65561.74498,2.297638166,3.065366852,23.24842739,10.05245843,3.594499922,172.0691978,11.17,198779,2181,17261462
Nectarinia_alinae,P2,0,117306.8805,2.26237621,2.706942174,19.22569312,11.52145853,2.022317104,108.3621378,12.56,179861,1913,15270205
Nectarinia_verticalis,P2,0,5373209.669,2.222357216,2.854487755,24.63459412,10.82300086,3.130820478,129.3922132,14.43,1798701,20056,169974410
Nectarinia_bannermani,P2,0,454416.9566,1.89338221,2.895156314,22.11004592,13.92696127,4.230391843,101.740666,14,NA,NA,NA
Nectarinia_cyanolaema,P2,0,3134571.954,2.249400648,2.819726019,24.53228593,10.23358841,2.477741125,135.9715526,16.8,2624010,29563,245801412
Nectarinia_dussumieri,P2,1,244.5888946,2.743637085,2.921772361,27.07930565,5.28899312,2.358750105,160.9018784,10.8,565,6,49324
Nectarinia_fuliginosa,P2,0,264250.4736,2.288807856,2.919173995,25.2215053,8.209908522,4.139578759,137.2198898,11.9,241907,2669,20653766
Nectarinia_amethystina,P2,0,3590561.914,2.063087797,2.822989799,21.60361889,12.90615955,6.828632334,81.35664951,13.66,2554047,28972,281415317
Nectarinia_rubescens,P2,0,2910535.163,2.206857884,2.8083992,24.14714696,10.88616888,2.413756118,130.8280812,10.3,1013079,11768,94732449
Nectarinia_senegalensis,P2,0,9420887.148,1.999382728,2.829631582,23.45870959,13.07371897,6.242083121,81.54732384,12.24,6210773,71794,603520455
Nectarinia_hunteri,P2,0,1422643.427,1.967310679,2.426198691,25.82255372,12.1348646,4.132070821,37.67654791,11.8,664090,7501,62462085
Nectarinia_adelberti,P2,0,915043.5664,2.348117351,2.923118507,26.36392199,10.1060655,3.824649568,141.2875474,9.8,385431,4083,35699479
Nectarinia_zeylonica,P2,0,1817376.928,2.302265007,3.023058606,26.06563562,10.95104805,10.3780912,113.2288057,8.77,6479131,72558,623336990
Nectarinia_minima,P2,0,57005.41826,2.445398225,3.158990714,24.64740393,9.149645117,4.481666644,150.8432089,4.89,20118,219,1851117
Nectarinia_sperata,P2,0,229865.9104,2.676414738,3.025780366,25.39414752,8.388923262,3.04892017,212.9297558,6.4,1620636,17801,158419946
Nectarinia_aspasia,P2,0,914523.5723,2.513010756,2.79714171,25.55598452,10.09142795,1.548244795,247.6457753,9.65,3186395,34245,289696986
Nectarinia_calcostetha,P2,0,568344.61,2.582299502,2.92727639,26.60344081,8.718629091,1.825344519,223.0988438,8.6,437984,5043,41878754
Nectarinia_jugularis,P2,0,5063701.812,2.466338118,2.951041227,24.91980291,9.394210902,5.212602536,188.4806329,8.99,14880978,183869,1129954089
Nectarinia_buettikoferi,P2,0,10702.4142,2.688234329,3.053712249,25.16892433,10.05041647,2.348333478,154.3102798,9.65,149780,1622,13667300
Nectarinia_solaris,P2,0,66937.6016,2.560347786,2.996139536,25.19680595,9.98843197,2.387291754,131.8007415,9.65,36957,391,3015071
Nectarinia_sovimanga,P2,0,591013.442,2.322196016,2.956024858,22.4028794,9.544472548,5.989790667,119.5979052,7.24,2199723,26451,197518549
