coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
10,0.16,Social,12,20,1.07E-13,1136.82,484.7614509,1231.831499,1041.808501,0.443462216,0.151485999,0.473152926,0.413771506,0.048758371,0.014742781,0.051647903,0.045868839,440.14,75.90336224,455.0167857,425.2632143
10,0.16,Social,12,22,1.02E-13,1186.88,581.3807021,1300.828525,1072.931475,0.268035381,0.164681171,0.300312298,0.235758464,0.033720384,0.015657483,0.036789194,0.030651573,432.82,87.5678457,449.9829825,415.6570175
10,0.16,Social,12,24,9.12E-14,961.43,723.7296813,1103.278412,819.5815879,0.21342206,0.220836165,0.256705154,0.170138967,0.027894743,0.020693418,0.031950578,0.023838907,356.02,168.3413782,389.0143041,323.0256959
10,0.16,Social,13,0,0,1281.09,43.07313372,1289.532179,1272.647821,0.74547549,0.08674823,0.762477831,0.728473149,0.077612824,0.008527927,0.079284267,0.075941381,487.24,6.879127852,488.5882843,485.8917157
10,0.16,Social,13,2,1.04E-13,1282.51,64.76569971,1295.203844,1269.816156,0.74255486,0.098293459,0.761820024,0.723289696,0.077019791,0.008783363,0.078741299,0.075298283,487.96,8.122708908,489.5520217,486.3679783
10,0.16,Social,13,4,1.01E-13,1281.01,111.6476687,1302.892541,1259.127459,0.74197344,0.106765598,0.762899113,0.721047767,0.077391187,0.010051808,0.079361305,0.075421069,487.65,9.70090202,489.5513419,485.7486581
10,0.16,Social,13,6,1.04E-13,1265.06,140.7959208,1292.655494,1237.464506,0.74691211,0.110149439,0.768501003,0.725323217,0.077400636,0.009772557,0.079316022,0.07548525,484.72,12.22708469,487.1164646,482.3235354
10,0.16,Social,13,8,9.52E-14,1264.73,186.1810162,1301.220809,1228.239191,0.72738465,0.107606856,0.748475206,0.706294094,0.075644143,0.010130815,0.077629746,0.07365854,484.81,16.87109659,488.1166742,481.5033258
10,0.16,Social,13,10,9.76E-14,1264.27,210.1391965,1305.456526,1223.083474,0.73413068,0.100526548,0.753833521,0.714427839,0.076396854,0.009840231,0.078325504,0.074468204,482.4,18.30355157,485.9874302,478.8125698
10,0.16,Social,13,12,9.67E-14,1235.15,244.1713827,1283.006712,1187.293288,0.70647772,0.108731899,0.727788781,0.685166659,0.073558062,0.010348565,0.075586344,0.07152978,477.79,22.5270038,482.2052116,473.3747884
10,0.16,Social,13,14,8.95E-14,1219.31,326.1779181,1283.239698,1155.380302,0.70531513,0.112598052,0.727383943,0.683246317,0.073322752,0.009836987,0.075250766,0.071394738,472.15,36.3321827,479.270977,465.029023
10,0.16,Social,13,16,9.70E-14,1289.88,354.4428344,1359.34952,1220.41048,0.66858628,0.103108727,0.688795219,0.648377341,0.069794533,0.009997953,0.071754096,0.06783497,476.22,38.55582446,483.7768028,468.6631972
10,0.16,Social,13,18,9.71E-14,1250.25,386.0972917,1325.923679,1174.576321,0.61576081,0.12792703,0.640834047,0.590687573,0.065491684,0.013144171,0.068067894,0.062915474,469.74,43.36441398,478.239269,461.240731
10,0.16,Social,13,20,1.12E-13,1246.46,417.5262508,1328.293642,1164.626358,0.55076235,0.136282566,0.577473242,0.524051458,0.058115787,0.013274457,0.060717533,0.055514041,463.99,49.28843576,473.650356,454.329644
10,0.16,Social,13,22,1.03E-13,1246.29,461.6042797,1336.762777,1155.817223,0.478715661,0.160422355,0.510157865,0.447273457,0.051546124,0.014644958,0.054416483,0.048675765,459.91,56.77606802,471.0379049,448.7820951
10,0.16,Social,13,24,9.85E-14,1093.22,577.0023297,1206.310379,980.1296206,0.349053567,0.162944865,0.380990174,0.31711696,0.041653101,0.015048762,0.044602604,0.038703598,420.77,90.00065055,438.4098035,403.1301965
10,0.16,Social,13,26,9.81E-14,1169.75,739.2187027,1314.634205,1024.865795,0.20469641,0.173221399,0.238647181,0.17074564,0.026284124,0.01705474,0.029626792,0.022941457,402.41,144.6084434,430.7527343,374.0672657
10,0.16,Social,14,0,0,1370.44,54.72120709,1381.16516,1359.71484,0.74411684,0.105420926,0.764778962,0.723454718,0.077560566,0.009332329,0.079389669,0.075731463,494.26,5.905285768,495.4174148,493.1025852
10,0.16,Social,14,2,1.13E-13,1391.92,74.42108966,1406.506266,1377.333734,0.72758504,0.108232625,0.748798245,0.706371835,0.07544333,0.0098728,0.077378363,0.073508297,496.19,6.591957221,497.4819999,494.8980001
10,0.16,Social,14,4,1.20E-13,1383,98.37939342,1402.282007,1363.717993,0.75462558,0.09626001,0.773492195,0.735758965,0.07795939,0.009028052,0.079728856,0.076189924,495.53,8.325208706,497.1617109,493.8982891
10,0.16,Social,14,6,1.03E-13,1349.1,129.8756593,1374.555162,1323.644838,0.72309772,0.102284303,0.743145075,0.703050365,0.075830537,0.010325863,0.077854369,0.073806705,492.64,9.793385523,494.5594683,490.7205317
10,0.16,Social,14,8,1.01E-13,1384.76,179.9300156,1420.025635,1349.494365,0.74050697,0.10554693,0.761193788,0.719820152,0.077351745,0.009178985,0.079150793,0.075552697,493.46,13.00339956,496.0086195,490.9113805
10,0.16,Social,14,10,9.98E-14,1331.35,219.1160098,1374.295949,1288.404051,0.7233441,0.094424207,0.741850905,0.704837295,0.074923662,0.00953391,0.076792274,0.07305505,489.1,17.93571855,492.6153363,485.5846637
10,0.16,Social,14,12,1.05E-13,1378.43,276.352222,1432.594041,1324.265959,0.70433398,0.11389823,0.726657623,0.682010337,0.073902856,0.009071841,0.075680904,0.072124808,489.43,20.50963432,493.4498145,485.4101855
10,0.16,Social,14,14,1.03E-13,1341.49,310.4788578,1402.342738,1280.637262,0.69851521,0.125693236,0.723150632,0.673879788,0.072787331,0.011235803,0.074989508,0.070585154,485.34,24.62852817,490.1671029,480.5128971
